,character_name,character_url,lotr_name,titles,birth,death,race,hair,culture,actor,other names,realms,weapon,rule,spouse,voice,height,children,eyes,gender,parentage,siblings,age,name,lifespan,languages,distinctions,members,purpose,formed,dissolved,also known as,dominions,skin color,realm,title,founder(s),type,revenue,employees
0,Beorn,b'https://lotr.fandom.com/wiki/Beorn',Beorn,chieftain of the beornings,unknown,before the war of the ring,man (skin-changer),black[1],beornings,mikael persbrandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Melkor,b'https://lotr.fandom.com/wiki/Melkor',Melkor,dark lord king of the world black enemy of the world lord of the dark elder king master of the fates of arda lord of angband lord of utumno lord of all,before the creation of arda,immortal,ainur (valar),,"valar (aratar),umaiar",,"morgoth, bauglir the first enemythe great enemy the black foe the black hand the marrerthe corrupter","utumno (formerly), angband, much of middle-earth and beleriand for a time","powers of the valar, grond, mace, sword, hammer, black spear",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Amroth,b'https://lotr.fandom.com/wiki/Amroth',Amroth,king of lórien,unknown,ta 1981[1][2],elves,golden[3],sindar (galadhrim) (elves of lórien),,,lothlórien,,sa 3434,nimrodel (betrothed),,,,,,,,,,,,,,,,,,,,,,,,,
3,Aul%C3%AB,b'https://lotr.fandom.com/wiki/Aul%C3%AB',Aulë,the smith,before the creation of arda,immortal,ainur,,valar (aratar),,mahalnávatar[1],,powers of the valar,,yavanna,,,,,,,,,,,,,,,,,,,,,,,,,
4,Frodo_Baggins,b'https://lotr.fandom.com/wiki/Frodo_Baggins',Frodo Baggins,"bearer of the one ring, elf-friend, deputy mayor of michel delving","22 september, ta 2968 (sr 1368)","unknown (last sighting september 29, 3021) (sr 1421)",,brown,shire-hobbit (brandybuck family/baggins family),elijah wood,"frodo of the nine fingers, nine-fingered frodo, maura labingi(westron name), mr. underhill,sneaky hobbit (by gollum)",,sting and barrow-blade,"november, ta 3019 to mid-year's day, ta 3020",,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bilbo_Baggins,b'https://lotr.fandom.com/wiki/Bilbo_Baggins',Bilbo Baggins,"elf-friend, ring-bearer, burglar, the fly who stings the spider, barrel rider, etc.","22 september, ta 2890 (sr 1290)","unknown (last sighting 29 september, ta 3021) (sr 1421)",hobbits,"brown, later white",shire-hobbits (baggins family),"sir ian holm, martin freeman, oscar strik","mr. baggins, bilbo took (see more)",,sting,,none,"orson bean, in the rankin/bass version of the hobbit",,,,,,,,,,,,,,,,,,,,,,,,
6,Alatar,b'https://lotr.fandom.com/wiki/Alatar',Alatar,,before the creation of arda,immortal,ainur (maiar),,istari (wizards),,morinehtar,,wizard staff,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,J.R.R._Tolkien,b'https://lotr.fandom.com/wiki/J.R.R._Tolkien',J.R.R. Tolkien,,"january 3, 1892 – september 2, 1973",,,,,,"john ronald reuel tolkien, ronald, john ronald, ""tollers"", mr. tolkien, professor tolkien, ""the professor"", the father of fantasy",,,,edith tolkien m. 1916–1971,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ancalagon,b'https://lotr.fandom.com/wiki/Ancalagon',Ancalagon,the black one,unknown,fa 587[1],dragons,,fire-drakes (dragons of morgoth),,ancalagon the black,,,,,,"not specified; ""as tall as a mountain""",,,,,,,,,,,,,,,,,,,,,,,
9,Andwise_Roper,b'https://lotr.fandom.com/wiki/Andwise_Roper',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
