,source,target,weight
0,Beorn,Gandalf,1
1,Beorn,Bilbo_Baggins,1
2,Beorn,Azog,1
3,Beorn,Sauron,1
4,Beorn,Gollum,1
5,Melkor,Eru_Il%C3%BAvatar,2
6,Melkor,Manw%C3%AB,4
7,Melkor,Tulkas,2
8,Melkor,Sauron,4
9,Melkor,Orom%C3%AB,2
10,Melkor,F%C3%ABanor,1
11,Melkor,Ungoliant,2
12,Melkor,Finw%C3%AB,1
13,Melkor,Maedhros,1
14,Melkor,Fingon,2
15,Melkor,Glaurung,1
16,Melkor,Fingolfin,3
17,Melkor,Thorondor,2
18,Melkor,L%C3%BAthien,1
19,Melkor,Beren,1
20,Melkor,Carcharoth,1
21,Melkor,H%C3%BArin,3
22,Melkor,Turgon,2
23,Melkor,Maeglin,1
24,Melkor,Tuor,1
25,Melkor,Idril,1
26,Melkor,E%C3%A4rendil,2
27,Melkor,Ar-Pharaz%C3%B4n,1
28,Melkor,Christopher_Tolkien,1
29,Melkor,Sador,1
30,Melkor,Nienna,2
31,Melkor,Arien,2
32,Melkor,E%C3%B6nw%C3%AB,2
33,Melkor,Ulmo,1
34,Melkor,Aul%C3%AB,1
35,Melkor,Mandos,1
36,Melkor,Varda,1
37,Melkor,Yavanna,1
38,Melkor,Est%C3%AB,1
39,Melkor,Vair%C3%AB,1
40,Melkor,V%C3%A1na,1
41,Melkor,Nessa,1
42,Melkor,Ilmar%C3%AB,1
43,Melkor,Uinen,1
44,Melkor,Salmar,1
45,Melkor,Melian,1
46,Melkor,Saruman,2
47,Melkor,Gandalf,1
48,Melkor,Radagast,1
49,Melkor,Alatar,1
50,Melkor,Pallando,1
51,Melkor,Shelob,1
52,Amroth,Nimrodel,2
53,Amroth,Amd%C3%ADr,2
54,Amroth,Legolas,1
55,Amroth,Frodo_Baggins,1
56,Amroth,Galadriel,2
57,Amroth,Celeborn,2
58,Amroth,Celebr%C3%ADan,1
59,Aul%C3%AB,Yavanna,3
60,Aul%C3%AB,Melkor,4
61,Aul%C3%AB,F%C3%ABanor,1
62,Aul%C3%AB,Finarfin,1
63,Aul%C3%AB,Sauron,2
64,Aul%C3%AB,Saruman,3
65,Aul%C3%AB,Ulmo,1
66,Aul%C3%AB,Orom%C3%AB,1
